postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
HP12 3AB,SEPD,LV,1,SZ4205,6,2026-04-13T15:58:20Z,2026-04-14T07:18:42Z,15.34
HP12 3AE,SEPD,LV,1,SZ4205,6,2026-04-13T15:58:20Z,2026-04-14T07:18:42Z,15.34
HP12 3AF,SEPD,LV,1,SZ4205,6,2026-04-13T15:58:20Z,2026-04-14T07:18:42Z,15.34
HP12 3AH,SEPD,LV,1,SZ4205,6,2026-04-13T15:58:20Z,2026-04-14T07:18:42Z,15.34
HP12 3AP,SEPD,LV,1,SZ4205,6,2026-04-13T15:58:20Z,2026-04-14T07:18:42Z,15.34
HP12 3QG,SEPD,LV,1,SZ4205,6,2026-04-13T15:58:20Z,2026-04-14T07:18:42Z,15.34
AB51 8XA,SHEPD,PSI,2,"249686,249689",35,2026-04-13T08:22:34Z,2026-04-13T15:58:20Z,15.2
AB53 8QX,SHEPD,PSI,2,"249686,249689",35,2026-04-13T08:22:34Z,2026-04-13T15:58:20Z,15.2
KW14 8JT,SHEPD,LV,1,SZ3181,20,2026-04-13T00:36:31Z,2026-04-13T14:24:12Z,13.79
KW14 8NR,SHEPD,LV,1,SZ3181,20,2026-04-13T00:36:31Z,2026-04-13T14:24:12Z,13.79
KW14 8NW,SHEPD,LV,1,SZ3181,20,2026-04-13T00:36:31Z,2026-04-13T14:24:12Z,13.79
KW14 8NX,SHEPD,LV,1,SZ3181,20,2026-04-13T00:36:31Z,2026-04-13T14:24:12Z,13.79
KW14 8YN,SHEPD,LV,1,SZ3181,20,2026-04-13T00:36:31Z,2026-04-13T14:24:12Z,13.79
SL6 6PH,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL6 6PJ,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL6 6PL,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL6 6PN,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL6 6PT,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL6 9TR,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL7 1QE,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL7 1RE,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL7 1RF,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL7 1RG,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL7 1RH,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL7 1RJ,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL7 1RL,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL7 1RP,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL7 1RQ,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
SL7 1SJ,SEPD,HV,1,SZ4057,160,2026-04-13T14:24:12Z,2026-04-14T03:42:32Z,13.31
HP15 7AX,SEPD,LV,1,SZ3745,15,2026-04-13T11:42:09Z,2026-04-14T00:09:23Z,12.45
HP15 7BD,SEPD,LV,1,SZ3745,15,2026-04-13T11:42:09Z,2026-04-14T00:09:23Z,12.45
HP15 7QN,SEPD,LV,1,SZ3745,15,2026-04-13T11:42:09Z,2026-04-14T00:09:23Z,12.45
HP15 7QP,SEPD,LV,1,SZ3745,15,2026-04-13T11:42:09Z,2026-04-14T00:09:23Z,12.45
HP15 7QW,SEPD,LV,1,SZ3745,15,2026-04-13T11:42:09Z,2026-04-14T00:09:23Z,12.45
