postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
RG14 1LU,SEPD,LV,1,TT4028,17,2026-08-01T20:31:44Z,2026-08-03T04:52:38Z,32.35
RG14 2DZ,SEPD,LV,1,TT4028,17,2026-08-01T20:31:44Z,2026-08-03T04:52:38Z,32.35
RG14 2EP,SEPD,LV,1,TT4028,17,2026-08-01T20:31:44Z,2026-08-03T04:52:38Z,32.35
RG14 2JG,SEPD,LV,1,TT4028,17,2026-08-01T20:31:44Z,2026-08-03T04:52:38Z,32.35
RG14 2JH,SEPD,LV,1,TT4028,17,2026-08-01T20:31:44Z,2026-08-03T04:52:38Z,32.35
RG14 3AA,SEPD,LV,1,TT4028,17,2026-08-01T20:31:44Z,2026-08-03T04:52:38Z,32.35
IV1 3AD,SHEPD,HV,1,TT3885,21,2026-08-01T16:07:57Z,2026-08-02T16:12:13Z,24.07
IV1 3AE,SHEPD,HV,1,TT3885,21,2026-08-01T16:07:57Z,2026-08-02T16:12:13Z,24.07
IV1 3XB,SHEPD,HV,1,TT3885,21,2026-08-01T16:07:57Z,2026-08-02T16:12:13Z,24.07
IV1 3XP,SHEPD,HV,1,TT3885,21,2026-08-01T16:07:57Z,2026-08-02T16:12:13Z,24.07
IV1 3ZD,SHEPD,HV,1,TT3885,21,2026-08-01T16:07:57Z,2026-08-02T16:12:13Z,24.07
RG4 5AL,SEPD,LV,1,TT3211,50,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
RG4 5AP,SEPD,LV,1,TT3211,50,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
RG4 5AS,SEPD,LV,1,TT3211,50,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
RG4 5AT,SEPD,LV,1,TT3211,50,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
RG4 5BA,SEPD,LV,1,TT3211,50,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
RG4 5BB,SEPD,LV,1,TT3211,50,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
RG4 5BE,SEPD,LV,1,TT3211,50,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
TW19 7AA,SEPD,LV,1,TS3404,31,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
TW19 7AB,SEPD,LV,1,TS3404,31,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
TW19 7AD,SEPD,LV,1,TS3404,31,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
TW19 7BA,SEPD,LV,1,TS3404,31,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
TW19 7TT,SEPD,LV,1,TS3404,31,2026-08-01T11:01:52Z,2026-08-02T09:26:51Z,22.42
BA12 9AN,SEPD,LV,1,TT3721,11,2026-08-01T16:07:57Z,2026-08-02T12:11:54Z,20.07
BA12 9NP,SEPD,LV,1,TT3721,11,2026-08-01T16:07:57Z,2026-08-02T12:11:54Z,20.07
RG19 4NA,SEPD,LV,1,TT3507,2,2026-08-01T13:53:13Z,2026-08-02T09:26:51Z,19.56
W4 1PD,SEPD,LV,1,TT4413,8,2026-08-02T09:26:51Z,2026-08-03T04:52:38Z,19.43
W4 2DR,SEPD,LV,1,TT4413,8,2026-08-02T09:26:51Z,2026-08-03T04:52:38Z,19.43
W4 2DW,SEPD,LV,1,TT4413,8,2026-08-02T09:26:51Z,2026-08-03T04:52:38Z,19.43
W4 2EY,SEPD,LV,1,TT4413,8,2026-08-02T09:26:51Z,2026-08-03T04:52:38Z,19.43
BH24 2JH,SEPD,LV,1,TT4023,10,2026-08-01T19:36:36Z,2026-08-02T13:56:57Z,18.34
BH24 2JL,SEPD,LV,1,TT4023,10,2026-08-01T19:36:36Z,2026-08-02T13:56:57Z,18.34
BH24 2JN,SEPD,LV,1,TT4023,10,2026-08-01T19:36:36Z,2026-08-02T13:56:57Z,18.34
BH24 2JP,SEPD,LV,1,TT4023,10,2026-08-01T19:36:36Z,2026-08-02T13:56:57Z,18.34
BA12 6BG,SEPD,LV,1,TT4088,53,2026-08-01T21:29:41Z,2026-08-02T13:56:57Z,16.45
BA12 6BH,SEPD,LV,1,TT4088,53,2026-08-01T21:29:41Z,2026-08-02T13:56:57Z,16.45
