postcode,outage_count,outage_refs,first_seen,last_seen
DT3 4BN,1,SY5660,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
DT3 4BP,1,SY5660,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
DT3 4BW,1,SY5660,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
DT3 4BZ,1,SY5660,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
IV40 8NX,1,SY4107,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
IV40 8NY,1,SY4107,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
IV40 8NZ,1,SY4107,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
OX25 6LR,1,SY5640,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
OX25 6LS,1,SY5640,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
OX25 6LU,1,SY5640,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
PA20 0DT,1,SY5661,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
PA20 0DX,1,SY5661,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
PA20 0EH,1,SY5661,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
PA20 0EQ,1,SY5661,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
SO15 3HL,1,SY5701,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
SO15 3HU,1,SY5701,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
SO15 5EJ,1,SY5701,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
SO15 5EL,1,SY5701,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
SO15 5EP,1,SY5701,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
SO15 5FW,1,SY5701,2026-04-06T00:25:52Z,2026-04-06T00:29:50Z
