postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
KW14 8JT,SHEPD,LV,1,SZ3181,20,2026-04-13T00:36:31Z,2026-04-13T10:11:07Z,9.58
KW14 8NR,SHEPD,LV,1,SZ3181,20,2026-04-13T00:36:31Z,2026-04-13T10:11:07Z,9.58
KW14 8NW,SHEPD,LV,1,SZ3181,20,2026-04-13T00:36:31Z,2026-04-13T10:11:07Z,9.58
KW14 8NX,SHEPD,LV,1,SZ3181,20,2026-04-13T00:36:31Z,2026-04-13T10:11:07Z,9.58
KW14 8YN,SHEPD,LV,1,SZ3181,20,2026-04-13T00:36:31Z,2026-04-13T10:11:07Z,9.58
PO14 4AT,SEPD,LV,1,SZ3162,24,2026-04-13T00:36:31Z,2026-04-13T10:11:07Z,9.58
PO14 4BH,SEPD,LV,1,SZ3162,24,2026-04-13T00:36:31Z,2026-04-13T10:11:07Z,9.58
PO14 4JL,SEPD,LV,1,SZ3162,24,2026-04-13T00:36:31Z,2026-04-13T10:11:07Z,9.58
PO14 4JN,SEPD,LV,1,SZ3162,24,2026-04-13T00:36:31Z,2026-04-13T10:11:07Z,9.58
PO14 4QU,SEPD,LV,1,SZ3162,24,2026-04-13T00:36:31Z,2026-04-13T10:11:07Z,9.58
AB51 8XA,SHEPD,PSI,2,"249686,249689",35,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,3.62
AB53 8QX,SHEPD,PSI,2,"249686,249689",35,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,3.62
GU7 3DP,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3ES,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3ET,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3EU,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3EW,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3EX,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
AB33 8BU,SHEPD,PSI,1,249563,7,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
AB51 8QS,SHEPD,PSI,1,249686,24,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
AB51 8QT,SHEPD,PSI,1,249689,11,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
AB51 8QU,SHEPD,PSI,1,249689,11,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
AB51 8UY,SHEPD,PSI,1,249689,11,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
AB51 8XB,SHEPD,PSI,1,249686,24,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
AB51 8XD,SHEPD,PSI,1,249686,24,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
AB51 8XE,SHEPD,PSI,1,249686,24,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
BH16 5BL,SEPD,PSI,1,248175,13,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
BH16 5BN,SEPD,PSI,1,248175,13,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
BH16 5DA,SEPD,PSI,1,248175,13,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
BH16 5DG,SEPD,PSI,1,248175,13,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
BH23 7BG,SEPD,PSI,1,250187,6,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
DT11,SEPD,PSI,1,249111,140,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
DT11 7FD,SEPD,PSI,1,249111,140,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
DT11 7SJ,SEPD,PSI,1,249111,140,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
DT11 7SP,SEPD,PSI,1,249111,140,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
DT11 7SR,SEPD,PSI,1,249111,140,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
