postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
SN26 7BJ,SEPD,"PSI,LV",2,"252482,TJ3199",27,2026-06-11T22:22:12Z,2026-06-17T10:02:27Z,47.35
SN26 8DF,SEPD,"PSI,LV",2,"252482,TJ3199",27,2026-06-11T22:22:12Z,2026-06-17T10:02:27Z,47.35
RG26 5EU,SEPD,PSI,1,251074,2,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
RG26 5HA,SEPD,PSI,1,251074,2,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
SL1 3LF,SEPD,LV,1,TJ5002,24,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
SL1 3LG,SEPD,LV,1,TJ5002,24,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
SL1 3LH,SEPD,LV,1,TJ5002,24,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
SL1 3LQ,SEPD,LV,1,TJ5002,24,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
SL1 3PD,SEPD,LV,1,TJ5002,24,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
SL2 5BD,SEPD,LV,1,TJ5002,24,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
SL2 5BL,SEPD,LV,1,TJ5002,24,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
SL2 5DL,SEPD,LV,1,TJ5002,24,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
SN26 8AS,SEPD,LV,1,TJ3199,11,2026-06-11T22:22:12Z,2026-06-13T21:43:08Z,47.35
BH24 1JQ,SEPD,"PSI,LV",3,"252242,252245,TJ9224",484,2026-06-14T08:46:48Z,2026-06-16T12:32:38Z,40.03
BH24 3EN,SEPD,"PSI,LV",3,"252242,252245,TJ9224",484,2026-06-14T08:46:48Z,2026-06-16T12:32:38Z,40.03
BH24 3HR,SEPD,"PSI,LV",3,"252242,252245,TJ9224",484,2026-06-14T08:46:48Z,2026-06-16T12:32:38Z,40.03
BH24 3DY,SEPD,PSI,4,"252235,252238,252242,252245",554,2026-06-14T08:46:48Z,2026-06-16T12:32:38Z,27.78
BH24 1QR,SEPD,PSI,3,"252235,252242,252245",531,2026-06-14T08:46:48Z,2026-06-15T13:39:15Z,27.78
BH24 1QU,SEPD,PSI,3,"252235,252242,252245",531,2026-06-14T08:46:48Z,2026-06-15T13:39:15Z,27.78
BH24 3DR,SEPD,PSI,3,"252235,252242,252245",531,2026-06-14T08:46:48Z,2026-06-15T13:39:15Z,27.78
BH24 3DU,SEPD,PSI,3,"252235,252242,252245",531,2026-06-14T08:46:48Z,2026-06-15T13:39:15Z,27.78
BH24 3EL,SEPD,PSI,3,"252235,252242,252245",531,2026-06-14T08:46:48Z,2026-06-15T13:39:15Z,27.78
BH24 3HE,SEPD,PSI,4,"252238,252239,252242,252245",520,2026-06-14T08:46:48Z,2026-06-17T13:54:46Z,25.63
BH24 3HF,SEPD,PSI,4,"252238,252239,252242,252245",520,2026-06-14T08:46:48Z,2026-06-17T13:54:46Z,25.63
SL0 0NU,SEPD,HV,1,TJ6829,18,2026-06-12T17:28:47Z,2026-06-13T18:57:49Z,25.48
SL0 0NY,SEPD,HV,1,TJ6829,18,2026-06-12T17:28:47Z,2026-06-13T18:57:49Z,25.48
SL0 0PB,SEPD,HV,1,TJ6829,18,2026-06-12T17:28:47Z,2026-06-13T18:57:49Z,25.48
BH24 3EA,SEPD,PSI,4,"252093,252247,252248,252250",135,2026-06-17T10:02:27Z,2026-06-18T14:16:29Z,22.02
BH24 3HA,SEPD,PSI,3,"252238,252242,252245",501,2026-06-14T08:46:48Z,2026-06-16T12:32:38Z,21.76
BH24 3HB,SEPD,PSI,3,"252238,252242,252245",501,2026-06-14T08:46:48Z,2026-06-16T12:32:38Z,21.76
BH24 3HD,SEPD,PSI,3,"252238,252242,252245",501,2026-06-14T08:46:48Z,2026-06-16T12:32:38Z,21.76
BH24 1EU,SEPD,PSI,2,"252242,252245",478,2026-06-14T08:46:48Z,2026-06-15T02:09:17Z,21.76
BH24 1QY,SEPD,PSI,2,"252242,252245",478,2026-06-14T08:46:48Z,2026-06-15T02:09:17Z,21.76
BH24 1XX,SEPD,PSI,2,"252242,252245",478,2026-06-14T08:46:48Z,2026-06-15T02:09:17Z,21.76
BH24 1XY,SEPD,PSI,2,"252242,252245",478,2026-06-14T08:46:48Z,2026-06-15T02:09:17Z,21.76
BH24 1XZ,SEPD,PSI,2,"252242,252245",478,2026-06-14T08:46:48Z,2026-06-15T02:09:17Z,21.76
BH24 3EU,SEPD,PSI,2,"252242,252245",478,2026-06-14T08:46:48Z,2026-06-15T02:09:17Z,21.76
BH24 3HG,SEPD,PSI,2,"252242,252245",478,2026-06-14T08:46:48Z,2026-06-15T02:09:17Z,21.76
SO23 8SD,SEPD,LV,1,TJ7028,16,2026-06-12T19:32:08Z,2026-06-13T14:33:10Z,19.02
SO23 8TH,SEPD,LV,1,TJ7028,16,2026-06-12T19:32:08Z,2026-06-13T14:33:10Z,19.02
SO23 8TQ,SEPD,LV,1,TJ7028,16,2026-06-12T19:32:08Z,2026-06-13T14:33:10Z,19.02
SO32 8TJ,SEPD,LV,1,TJ7028,16,2026-06-12T19:32:08Z,2026-06-13T14:33:10Z,19.02
BH24 3DH,SEPD,PSI,3,"252093,252247,252248",80,2026-06-17T10:02:27Z,2026-06-18T14:16:29Z,18.69
BH24 3EB,SEPD,PSI,3,"252093,252247,252248",80,2026-06-17T10:02:27Z,2026-06-18T14:16:29Z,18.69
BH24 3ED,SEPD,PSI,3,"252093,252247,252248",80,2026-06-17T10:02:27Z,2026-06-18T14:16:29Z,18.69
BH24 3EY,SEPD,PSI,3,"252093,252247,252248",80,2026-06-17T10:02:27Z,2026-06-18T14:16:29Z,18.69
RG14 7SB,SEPD,LV,1,TJ9186,13,2026-06-15T18:16:33Z,2026-06-16T12:32:38Z,18.27
RG14 7SD,SEPD,LV,1,TJ9186,13,2026-06-15T18:16:33Z,2026-06-16T12:32:38Z,18.27
TW8 8LE,SEPD,HV,1,TK0680,3,2026-06-16T20:31:54Z,2026-06-17T13:54:46Z,17.38
TW8 8LH,SEPD,HV,1,TK0680,3,2026-06-16T20:31:54Z,2026-06-17T13:54:46Z,17.38
TW8 8LN,SEPD,HV,1,TK0680,3,2026-06-16T20:31:54Z,2026-06-17T13:54:46Z,17.38
SN11 8PE,SEPD,LV,1,TJ8244,14,2026-06-15T07:38:15Z,2026-06-15T23:20:13Z,15.7
SN11 8PF,SEPD,LV,1,TJ8244,14,2026-06-15T07:38:15Z,2026-06-15T23:20:13Z,15.7
SN11 8PL,SEPD,LV,1,TJ8244,14,2026-06-15T07:38:15Z,2026-06-15T23:20:13Z,15.7
SN11 8PP,SEPD,LV,1,TJ8244,14,2026-06-15T07:38:15Z,2026-06-15T23:20:13Z,15.7
SN11 8PW,SEPD,LV,1,TJ8244,14,2026-06-15T07:38:15Z,2026-06-15T23:20:13Z,15.7
BH24 1RE,SEPD,PSI,2,"252247,252248",62,2026-06-17T10:02:27Z,2026-06-17T21:31:48Z,15.36
BH24 3BX,SEPD,PSI,2,"252247,252248",62,2026-06-17T10:02:27Z,2026-06-17T21:31:48Z,15.36
OX7 5DD,SEPD,LV,1,TK1828,3,2026-06-17T23:05:25Z,2026-06-18T14:16:29Z,15.18
OX7 5LH,SEPD,LV,1,TK1828,3,2026-06-17T23:05:25Z,2026-06-18T14:16:29Z,15.18
SL5 8EN,SEPD,LV,1,TJ8145,28,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,15.01
SL5 8TA,SEPD,LV,1,TJ8145,28,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,15.01
SL5 8TB,SEPD,LV,1,TJ8145,28,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,15.01
SL5 8TL,SEPD,LV,1,TJ8145,28,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,15.01
SL5 8TN,SEPD,LV,1,TJ8145,28,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,15.01
SL5 8TW,SEPD,LV,1,TJ8145,28,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,15.01
RG19 8DB,SEPD,LV,1,TJ6905,10,2026-06-12T17:28:47Z,2026-06-13T08:18:26Z,14.83
RG19 8DD,SEPD,LV,1,TJ6905,10,2026-06-12T17:28:47Z,2026-06-13T08:18:26Z,14.83
RG6 3AP,SEPD,LV,2,"TJ8157,TJ8158",42,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,13.82
RG6 3AR,SEPD,LV,2,"TJ8157,TJ8158",42,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,13.82
RG6 3AS,SEPD,LV,2,"TJ8157,TJ8158",42,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,13.82
RG6 3AX,SEPD,LV,2,"TJ8157,TJ8158",42,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,13.82
RG6 3AY,SEPD,LV,2,"TJ8157,TJ8158",42,2026-06-14T22:38:46Z,2026-06-15T13:39:15Z,13.82
GU15 4DY,SEPD,LV,1,TJ9363,24,2026-06-15T23:20:13Z,2026-06-16T12:32:38Z,13.21
GU15 4EG,SEPD,LV,1,TJ9363,24,2026-06-15T23:20:13Z,2026-06-16T12:32:38Z,13.21
GU15 4EL,SEPD,LV,1,TJ9363,24,2026-06-15T23:20:13Z,2026-06-16T12:32:38Z,13.21
GU15 4EP,SEPD,LV,1,TJ9363,24,2026-06-15T23:20:13Z,2026-06-16T12:32:38Z,13.21
GU15 4HD,SEPD,LV,1,TJ9363,24,2026-06-15T23:20:13Z,2026-06-16T12:32:38Z,13.21
GU15 4HG,SEPD,LV,1,TJ9363,24,2026-06-15T23:20:13Z,2026-06-16T12:32:38Z,13.21
BH21 2NN,SEPD,LV,1,TJ9470,6,2026-06-16T07:42:17Z,2026-06-16T20:31:54Z,12.83
RG29 1QJ,SEPD,LV,1,TK2124,17,2026-06-18T01:40:26Z,2026-06-18T14:16:29Z,12.6
RG29 1QL,SEPD,LV,1,TK2124,17,2026-06-18T01:40:26Z,2026-06-18T14:16:29Z,12.6
RG29 1QN,SEPD,LV,1,TK2124,17,2026-06-18T01:40:26Z,2026-06-18T14:16:29Z,12.6
RG29 1QP,SEPD,LV,1,TK2124,17,2026-06-18T01:40:26Z,2026-06-18T14:16:29Z,12.6
PO8 0EH,SEPD,LV,1,TJ8200,30,2026-06-15T13:39:15Z,2026-06-16T02:03:34Z,12.41
PO8 0EL,SEPD,LV,1,TJ8200,30,2026-06-15T13:39:15Z,2026-06-16T02:03:34Z,12.41
PO8 0EN,SEPD,LV,1,TJ8200,30,2026-06-15T13:39:15Z,2026-06-16T02:03:34Z,12.41
PO8 0EP,SEPD,LV,1,TJ8200,30,2026-06-15T13:39:15Z,2026-06-16T02:03:34Z,12.41
PO8 0ER,SEPD,LV,1,TJ8200,30,2026-06-15T13:39:15Z,2026-06-16T02:03:34Z,12.41
PO8 0EW,SEPD,LV,1,TJ8200,30,2026-06-15T13:39:15Z,2026-06-16T02:03:34Z,12.41
PO8 0EY,SEPD,LV,1,TJ8200,30,2026-06-15T13:39:15Z,2026-06-16T02:03:34Z,12.41
PO8 0HB,SEPD,LV,1,TJ8200,30,2026-06-15T13:39:15Z,2026-06-16T02:03:34Z,12.41
PO8 0HE,SEPD,LV,1,TJ8200,30,2026-06-15T13:39:15Z,2026-06-16T02:03:34Z,12.41
SL4 6JN,SEPD,LV,1,TK2106,23,2026-06-17T23:05:25Z,2026-06-18T10:56:41Z,11.85
SL4 6LT,SEPD,LV,1,TK2106,23,2026-06-17T23:05:25Z,2026-06-18T10:56:41Z,11.85
SL4 6LU,SEPD,LV,1,TK2106,23,2026-06-17T23:05:25Z,2026-06-18T10:56:41Z,11.85
SL4 6LZ,SEPD,LV,1,TK2106,23,2026-06-17T23:05:25Z,2026-06-18T10:56:41Z,11.85
