postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
SP3 4,SEPD,PSI,19,2052,89.11
GU10 4,SEPD,LV,5,50,36.85
PO17 6,SEPD,HV,12,636,34.08
IV2 4,SHEPD,LV,21,706,23.84
IV40 8,SHEPD,PSI,14,1344,20.86
BH15 2,SEPD,LV,4,136,11.36
PO16 8,SEPD,HV,3,159,8.52
BA12 6,SEPD,PSI,5,250,7.45
DD11 2,SHEPD,PSI,5,165,7.45
GU16 6,SEPD,PSI,5,55,7.45
HP13 6,SEPD,PSI,5,295,7.45
PO17 5,SEPD,HV,2,106,5.68
AB37 9,SHEPD,PSI,3,57,4.47
BH23 8,SEPD,PSI,3,66,4.47
HS9 5,SHEPD,PSI,3,246,4.47
SP3 6,SEPD,PSI,3,150,4.47
AB43 7,SHEPD,PSI,2,7,2.98
DT9 5,SEPD,PSI,2,114,2.98
DT9 6,SEPD,PSI,2,114,2.98
DT4 8,SEPD,LV,1,34,2.84
PO16 7,SEPD,HV,1,53,2.84
AB43 6,SHEPD,PSI,1,5,1.49
DD11 3,SHEPD,PSI,1,33,1.49
DT9 3,SEPD,PSI,1,57,1.49
DT9 4,SEPD,PSI,1,57,1.49
GU15 6,SEPD,PSI,1,11,1.49
OX25 2,SEPD,PSI,1,9,1.49
PH10 6,SHEPD,PSI,1,3,1.49
RG40 4,SEPD,HV,21,4599,0.0
SO17 2,SEPD,LV,21,935,0.0
SN2 5,SEPD,LV,18,882,0.0
HP11 2,SEPD,LV,14,238,0.0
SN11 8,SEPD,LV,12,348,0.0
RG27 0,SEPD,HV,7,1533,0.0
PO15 6,SEPD,PSI,6,192,0.0
BH9 2,SEPD,LV,4,112,0.0
PO16 0,SEPD,LV,4,72,0.0
AB33 8,SHEPD,PSI,2,52,0.0
RG22 4,SEPD,LV,2,44,0.0
SN11 9,SEPD,LV,2,58,0.0
AB51 0,SHEPD,PSI,1,21,0.0
PO15 5,SEPD,PSI,1,32,0.0
SO17 1,SEPD,LV,1,41,0.0
