postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
SP3 4,SEPD,"LV,PSI",249,26065,2304.82
SO32 1,SEPD,"HV,LV,PSI",132,45658,1163.52
GU27 1,SEPD,LV,26,582,913.57
PO17 5,SEPD,"HV,LV,PSI",124,182961,845.62
BA11 1,SEPD,"HV,LV",68,7908,807.37
OX11 9,SEPD,"HV,LV,PSI",118,57980,441.5
GU10 4,SEPD,"HV,LV",112,3591,436.14
SO32 2,SEPD,"HV,LV,PSI",71,15138,424.88
SL3 9,SEPD,"HV,LV",152,190821,382.69
OX14 4,SEPD,"HV,LV,PSI",72,210327,330.04
RG40 4,SEPD,"HV,LV,PSI",94,9773,327.26
RG10 0,SEPD,"HV,LV,PSI",128,17593,325.99
BA12 7,SEPD,"HV,LV,PSI",55,8494,312.21
BH21 4,SEPD,"HV,LV",113,61893,301.09
GU10 3,SEPD,"HV,LV,PSI",72,3288,290.37
AB54 4,SHEPD,PSI,62,13481,275.26
GU32 2,SEPD,HV,24,3384,233.28
PO40 9,SEPD,LV,29,937,216.75
BA11 2,SEPD,"HV,LV",43,5402,212.82
TW14 9,SEPD,LV,19,603,208.3
SP6 3,SEPD,PSI,35,4569,205.53
PO17 6,SEPD,HV,36,38748,204.96
BH22 0,SEPD,"HV,LV,PSI",47,1925,200.52
UB4 8,SEPD,"HV,LV",50,31211,197.72
HP11 1,SEPD,"LV,PSI",22,857,197.05
W5 1,SEPD,LV,17,277,196.96
IV22 2,SHEPD,"HV,LV,PSI",33,7751,190.69
RG26 5,SEPD,PSI,33,4419,188.21
SO20 6,SEPD,"HV,PSI",64,10032,181.04
SN15 3,SEPD,"HV,LV",126,555,176.27
FK14 7,SHEPD,PSI,44,2363,172.93
TW4 7,SEPD,LV,15,574,168.14
BA20 2,SEPD,"HV,LV",24,1196,167.68
SL7 1,SEPD,"HV,LV",31,4016,167.03
GU7 3,SEPD,"LV,PSI",40,16200,166.0
HP13 6,SEPD,"LV,PSI",24,952,164.48
SO21 1,SEPD,HV,24,5254,163.72
RG29 1,SEPD,"LV,PSI",43,5320,162.85
SL6 2,SEPD,"LV,PSI",18,886,158.46
IV6 7,SHEPD,"LV,PSI",40,1063,156.15
RG22 4,SEPD,LV,16,508,147.67
GU9 8,SEPD,"HV,LV,PSI",46,15484,144.27
OX33 1,SEPD,"LV,PSI",29,3244,142.24
HP11 2,SEPD,LV,24,432,142.11
IV2 4,SHEPD,LV,31,811,140.96
OX7 3,SEPD,"HV,LV",30,1339,140.28
SO31 6,SEPD,LV,11,164,139.27
AB51 8,SHEPD,PSI,18,328,139.05
SN11 0,SEPD,LV,22,660,138.16
HS2 9,SHEPD,"LV,PSI",30,8366,137.07
OX4 3,SEPD,LV,10,180,134.24
IV40 8,SHEPD,"LV,PSI",45,2219,133.11
IV18 0,SHEPD,"HV,LV",49,12416,132.96
BA21 3,SEPD,"HV,LV,PSI",39,785,129.72
IV27 4,SHEPD,"HV,PSI",44,7049,129.27
AB51 5,SHEPD,PSI,24,1563,128.15
SL2 1,SEPD,"HV,LV,PSI",32,1501,128.08
SL6 9,SEPD,"HV,LV",47,7059,127.68
AB33 8,SHEPD,"HV,LV,PSI",42,1893,126.59
BA10 0,SEPD,"LV,PSI",22,631,126.04
