local_authority_code,local_authority_name,proportion_of_la_in_dno,overall_psr_records,overall_eligibility_estimate,overall_psr_reach,over_65_psr_records,over_65_eligibility_estimate,over_65_psr_reach,disability_psr_records,disability_eligibility_estimate,disability_psr_reach,child_under_5_psr_records,child_under_5_eligibility_estimate,child_under_5_psr_reach,no_english_psr_records,no_english_eligibility_estimate,no_english_psr_reach,partial_sight_psr_records,partial_sight_eligibility_estimate,partial_sight_psr_reach,blind_psr_records,blind_eligibility_estimate,blind_psr_reach,hearing_impaired_psr_records,hearing_impaired_eligibility_estimate,hearing_impaired_psr_reach,dementia_psr_records,dementia_eligibility_estimate,dementia_psr_reach,mental_health_psr_records,mental_health_eligibility_estimate,mental_health_psr_reach
E06000022,Bath and North East Somerset,0.00979090607368071,164,148.691615322772,1.102953920057949,149,123.665591801685,1.2048622242389158,43,22.0530793650793,1.9498410760761973,7,22.7045079365079,0.3083088177720114,0,0.520146793650793,0,5,13.646897631037,0.3663836378920694,2,8.33468244580113,0.23996115185019024,11,32.576579892267,0.3376658948354235,1,14.3807801841945,0.06953725647646511,3,16.4611226677863,0.18224759395486856
E06000030,Swindon,1,32487,41258.7894682694,0.7873958596139748,19854,23834.6560612849,0.8329887349307818,14022,12617,1.1113576920028534,4027,11263,0.3575423954541419,723,1432.584,0.5046824479402254,1698,1558.51462222222,1.0894989214659365,599,918.594711111111,0.6520830054371458,3742,3791.14378578024,0.9870372139498989,1345,1165.41098550607,1.154099297782014,5061,1980.16733820501,2.5558446007839497
E06000036,Bracknell Forest,1,15811,20054.9199285916,0.7883850973375769,9803,12134.1153826584,0.8078874883627745,5525,5107,1.0818484433130997,2186,5826,0.375214555441126,116,520.554,0.2228395132877665,541,770.705826589595,0.7019539509568097,101,444.637976878612,0.22715108751849467,1248,1855.73744736041,0.6725089272596982,365,714.909111087299,0.510554410818565,1870,842.938585883325,2.2184297068812024
E06000037,West Berkshire,1,22088,29252.4886752285,0.7550810546490183,15306,19924.7119947942,0.768191781341635,8195,6789,1.2070997201355134,2377,6766,0.3513154005320721,95,465.812,0.20394493916000447,779,1236.72823369565,0.6298877787176858,211,744.047880434782,0.28358390037574305,2282,3041.47744791039,0.7502932502648738,726,1184.82879000382,0.612746758118242,2307,1184.82879000382,1.9471167644335872
E06000038,Reading,1,20190,26415.4145777743,0.7643264481257731,11432,13641.5927232333,0.8380253121418811,8201,7348,1.1160860097985847,3083,8399,0.36706750803667104,445,1909.506,0.23304456754783698,897,903.30372,0.9930214834053822,224,527.77296,0.42442492696101747,1800,2142.35561218836,0.8401966460467072,670,895.492956485648,0.7481912561651042,3014,1578.98604318068,1.9088199120041964
E06000039,Slough,1,17614,21747.3916085529,0.8099362129053075,8858,8770.80771347036,1.0099411923483088,6849,6649,1.0300797112347722,3518,9352,0.3761762189905902,778,2248.26,0.34604538620978,727,717.840909090909,1.0127592211492797,165,389.685064935065,0.4234188447214283,1222,1685.66203187394,0.7249377258865529,440,540.238586347011,0.8144549669715283,2530,1588.67524980134,1.592521819872482
E06000040,Windsor and Maidenhead,1,20037,25761.2831810018,0.7777951066807381,14211,17347.7689471812,0.8191831493299381,6650,5785,1.1495246326707,2181,6394,0.3411010322177041,173,722.554,0.23942847178203983,733,1180.03129798903,0.6211699649400437,176,727.685967093235,0.24186257253666393,1692,2827.49881651111,0.5984087385358422,587,1208.28683368596,0.4858117986846858,1890,1128.18883483795,1.6752514664546156
E06000041,Wokingham,1,20788,28948.2571308418,0.7181088625142903,15256,18893.5783321573,0.8074701219532322,6987,6125,1.140734693877551,2126,8036,0.26455948232951715,149,785.982,0.1895717713637208,745,1277.6632113402,0.5830957590291225,139,772.540546391752,0.17992583127088543,2075,3078.30986949196,0.6740711910014618,710,1232.3372121575,0.5761410050719605,1638,1077.51046563856,1.5201708495975301
E06000044,Portsmouth,1,32315,36741.0786987563,0.8795332402990628,17837,21163.849732293,0.8428050768468316,13385,12551,1.066448888534778,4520,9313,0.4853430688285193,397,1156.248,0.3433519452574188,1327,1165.41350956521,1.1386516366152941,298,682.859478260869,0.43640018113090717,2735,2784.40208310249,0.9822575613621707,875,1251.6060360881,0.6991017738575441,5862,2002.39726021533,2.927491021122164
E06000045,Southampton,1,39025,43127.4804783998,0.9048754892960996,20332,23300.4514610563,0.8726011182222078,17157,14913,1.1504727419030376,5657,11329,0.4993379821696531,683,2388.65,0.28593557030121614,1582,1332.71242138364,1.1870527914473448,315,778.979795597484,0.4043750579671869,3195,3135.3657293681,1.0190198770348615,946,1335.76719350301,0.7082072419514533,7707,2667.77801132126,2.8889210298959562
E06000046,Isle of Wight,1,33390,35348.7863918081,0.9445868842540507,23923,25755.0947242733,0.9288647646655086,13935,11215,1.2425323227819884,2272,4593,0.49466579577618114,92,155.54,0.5914877202005915,1512,1429.9854672489,1.0573534029747065,326,893.740917030567,0.3647589517140239,3465,3502.51579673154,0.9892889000624783,998,1383.42545394655,0.7213977429379861,4229,1742.96508420142,2.426325138886884
