postcode,postcode_compact,postcode_sector,local_authority_code
AB10 1AB,AB101AB,AB10 1,S12000033
AB10 1AF,AB101AF,AB10 1,S12000033
AB10 1AG,AB101AG,AB10 1,S12000033
AB10 1AH,AB101AH,AB10 1,S12000033
AB10 1AL,AB101AL,AB10 1,S12000033
AB10 1AN,AB101AN,AB10 1,S12000033
AB10 1AP,AB101AP,AB10 1,S12000033
AB10 1AQ,AB101AQ,AB10 1,S12000033
AB10 1AR,AB101AR,AB10 1,S12000033
AB10 1AS,AB101AS,AB10 1,S12000033
AB10 1AU,AB101AU,AB10 1,S12000033
AB10 1AW,AB101AW,AB10 1,S12000033
AB10 1AX,AB101AX,AB10 1,S12000033
AB10 1BA,AB101BA,AB10 1,S12000033
AB10 1BB,AB101BB,AB10 1,S12000033
AB10 1BD,AB101BD,AB10 1,S12000033
AB10 1BF,AB101BF,AB10 1,S12000033
AB10 1BJ,AB101BJ,AB10 1,S12000033
AB10 1BL,AB101BL,AB10 1,S12000033
AB10 1BQ,AB101BQ,AB10 1,S12000033
AB10 1BS,AB101BS,AB10 1,S12000033
AB10 1BT,AB101BT,AB10 1,S12000033
AB10 1BU,AB101BU,AB10 1,S12000033
AB10 1BW,AB101BW,AB10 1,S12000033
AB10 1BX,AB101BX,AB10 1,S12000033
AB10 1BY,AB101BY,AB10 1,S12000033
AB10 1BZ,AB101BZ,AB10 1,S12000033
AB10 1DA,AB101DA,AB10 1,S12000033
AB10 1DB,AB101DB,AB10 1,S12000033
AB10 1DD,AB101DD,AB10 1,S12000033
AB10 1DF,AB101DF,AB10 1,S12000033
AB10 1DH,AB101DH,AB10 1,S12000033
AB10 1DJ,AB101DJ,AB10 1,S12000033
AB10 1DQ,AB101DQ,AB10 1,S12000033
AB10 1FE,AB101FE,AB10 1,S12000033
AB10 1FF,AB101FF,AB10 1,S12000033
AB10 1FG,AB101FG,AB10 1,S12000033
AB10 1FL,AB101FL,AB10 1,S12000033
AB10 1FQ,AB101FQ,AB10 1,S12000033
AB10 1FT,AB101FT,AB10 1,S12000033
AB10 1FY,AB101FY,AB10 1,S12000033
AB10 1GF,AB101GF,AB10 1,S12000033
AB10 1GS,AB101GS,AB10 1,S12000033
AB10 1GZ,AB101GZ,AB10 1,S12000033
AB10 1HA,AB101HA,AB10 1,S12000033
AB10 1HE,AB101HE,AB10 1,S12000033
AB10 1HF,AB101HF,AB10 1,S12000033
AB10 1HP,AB101HP,AB10 1,S12000033
AB10 1HT,AB101HT,AB10 1,S12000033
AB10 1HW,AB101HW,AB10 1,S12000033
AB10 1JE,AB101JE,AB10 1,S12000033
AB10 1JF,AB101JF,AB10 1,S12000033
AB10 1JG,AB101JG,AB10 1,S12000033
AB10 1JH,AB101JH,AB10 1,S12000033
